n,sortusingbst.time
100,1
200,0
300,0
400,1
500,2
600,3
700,3
800,5
900,6
1000,8
1100,9
1200,11
1300,12
1400,17
1500,19
1600,22
1700,26
1800,30
1900,29
2000,35
2100,36
2200,38
2300,42
2400,54
2500,58
2600,62
2700,66
2800,73
2900,84
3000,104
3100,99
3200,109
3300,113
3400,109
3500,112
3600,121
3700,130
3800,138
3900,165
4000,157
4100,209
4200,203
4300,200
4400,171
4500,178
4600,187
4700,194
4800,203
4900,202
5000,210
5100,222
5200,227
5300,242
5400,287
5500,312
5600,292
5700,338
5800,321
5900,357
6000,338
6100,353
6200,412
6300,389
6400,370
6500,375
6600,392
6700,404
6800,403
6900,415
7000,429
7100,511
7200,487
7300,511
7400,570
7500,573
7600,600
7700,586
7800,541
7900,551
8000,594
8100,645
8200,741
8300,762
8400,826
8500,671
8600,661
8700,707
8800,864
8900,953
9000,980
9100,955
9200,819
9300,849
9400,904
9500,1033
9600,1114
9700,1134
9800,944
9900,980
