n,sortusingbst.time
100,0
200,0
300,0
400,1
500,2
600,3
700,3
800,4
900,5
1000,7
1100,8
1200,9
1300,11
1400,13
1500,16
1600,17
1700,19
1800,22
1900,27
2000,29
2100,30
2200,40
2300,39
2400,42
2500,49
2600,52
2700,56
2800,62
2900,69
3000,69
3100,77
3200,94
3300,103
3400,92
3500,101
3600,107
3700,110
3800,117
3900,126
4000,131
4100,140
4200,150
4300,156
4400,167
4500,177
4600,183
4700,189
4800,200
4900,208
5000,218
5100,224
5200,234
5300,239
5400,254
5500,266
5600,276
5700,297
5800,297
5900,344
6000,313
6100,324
6200,343
6300,355
6400,376
6500,374
6600,390
6700,410
6800,421
6900,429
7000,442
7100,475
7200,465
7300,476
7400,485
7500,513
7600,518
7700,549
7800,556
7900,552
8000,575
8100,601
8200,620
8300,634
8400,668
8500,674
8600,676
8700,838
8800,734
8900,741
9000,796
9100,778
9200,788
9300,784
9400,815
9500,885
9600,881
9700,856
9800,942
9900,905
