n,sortusingbst.time
100,0
200,0
300,0
400,1
500,1
600,3
700,3
800,5
900,6
1000,9
1100,9
1200,12
1300,15
1400,17
1500,20
1600,23
1700,27
1800,29
1900,33
2000,41
2100,41
2200,47
2300,51
2400,61
2500,63
2600,73
2700,82
2800,98
2900,90
3000,106
3100,111
3200,109
3300,114
3400,136
3500,144
3600,138
3700,143
3800,150
3900,149
4000,170
4100,177
4200,210
4300,170
4400,171
4500,189
4600,188
4700,191
4800,232
4900,237
5000,241
5100,244
5200,264
5300,302
5400,325
5500,353
5600,321
5700,326
5800,317
5900,329
6000,342
6100,344
6200,421
6300,433
6400,412
6500,488
6600,685
6700,485
6800,436
6900,449
7000,549
7100,548
7200,571
7300,567
7400,792
7500,595
7600,573
7700,691
7800,606
7900,648
8000,717
8100,916
8200,662
8300,681
8400,785
8500,846
8600,766
8700,759
8800,728
8900,743
9000,830
9100,866
9200,960
9300,808
9400,826
9500,933
9600,964
9700,946
9800,908
9900,951
