n,sortusingbst.time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,1
1700,0
1800,1
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,1
2600,1
2700,1
2800,0
2900,1
3000,1
3100,1
3200,1
3300,1
3400,1
3500,1
3600,1
3700,0
3800,0
3900,1
4000,0
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,1
5000,1
5100,1
5200,1
5300,2
5400,1
5500,1
5600,1
5700,1
5800,2
5900,1
6000,2
6100,2
6200,1
6300,1
6400,2
6500,2
6600,2
6700,2
6800,1
6900,1
7000,2
7100,2
7200,2
7300,2
7400,2
7500,3
7600,2
7700,3
7800,2
7900,2
8000,3
8100,2
8200,3
8300,3
8400,3
8500,2
8600,3
8700,2
8800,3
8900,3
9000,3
9100,2
9200,3
9300,2
9400,3
9500,3
9600,2
9700,3
9800,3
9900,3
